age,qx,px,lx,dx
40,0.001326572060283323,0.9986734279397167,100000.0,132.6572060283323
41,0.0014609380153122714,0.9985390619846878,99867.34279397166,145.89999757593523
42,0.0016089136417728532,0.9983910863582272,99721.44279639573,160.4431896923923
43,0.0017718774373391046,0.9982281225626609,99560.99960670334,176.40988884204512
44,0.0019513475250865174,0.9980486524749135,99384.5897178613,193.9338731776876
45,0.0021489957958827723,0.9978510042041172,99190.65584468361,213.16030240108003
46,0.002366663483234271,0.9976333365167658,98977.49554228253,234.24642436190288
47,0.0026063783156791767,0.9973936216843208,98743.24911792063,257.3622633206553
48,0.002870373406513653,0.9971296265934864,98485.88685459997,282.6912705443563
49,0.0031611080568224575,0.9968388919431775,98203.19558405562,310.4309127664698
50,0.0034812906656088486,0.9965187093343911,97892.76467128914,340.79316788080257
51,0.0038339039604478736,0.9961660960395521,97551.97150340833,374.0048898964153
52,0.004222232783704427,0.9957777672162955,97177.96661351192,410.3079964893043
53,0.004649894693164373,0.9953501053068357,96767.65861702261,449.95942227323513
54,0.005120873662145244,0.9948791263378548,96317.69919474937,493.23076900482016
55,0.005639557193026919,0.9943604428069731,95824.46842574455,540.4075701783886
56,0.006210777189941069,0.9937892228100589,95284.06085556616,591.788071726707
57,0.006839854971377387,0.9931601450286226,94692.27278383945,647.6814127515679
58,0.007532650842030909,0.9924673491579691,94044.59137108788,708.4050703798779
59,0.008295618685687234,0.9917043813143127,93336.18630070801,774.2814111269382
60,0.009135866087717012,0.990864133912283,92561.90488958107,845.6331678952112
61,0.010061220547263298,0.9899387794527367,91716.27172168586,922.7776375646096
62,0.011080302395935115,0.9889196976040648,90793.49408412125,1006.0193700356094
63,0.012202605102296494,0.9877973948977035,89787.47471408565,1095.641097068419
64,0.013438583710244112,0.9865614162897559,88691.83361701723,1191.8926304773288
65,0.0147997522351396,0.9852002477648604,87499.94098653989,1294.977447190127
66,0.016298790925010416,0.9837012090749896,86204.96353934976,1405.0366774260076
67,0.017949664386033293,0.9820503356139667,84799.92686192376,1522.1302271317008
68,0.019767751672722683,0.9802322483272773,83277.79663479206,1646.2148037280701
69,0.021769989554706416,0.9782300104452936,81631.58183106399,1777.118683796425
70,0.0239750302947199,0.9760249697052801,79854.46314726757,1914.5131731243337
71,0.02640341540763264,0.9735965845923673,77939.94997414324,2057.8808760174106
72,0.02907776701919523,0.9709222329808048,75882.06909812582,2206.4811261697764
73,0.03202299860714905,0.9679770013928509,73675.58797195605,2359.313251006836
74,0.03526654708790122,0.9647334529120988,71316.27472094921,2515.078760580055
75,0.03883862841081644,0.9611613715891836,68801.19596036915,2672.1440841245426
76,0.0427725190411673,0.9572274809588327,66129.0518762446,2828.5061305510126
77,0.047104865953956084,0.9528951340460439,63300.54574569359,2981.7637221631617
78,0.05187602802641984,0.9481239719735801,60318.78202353043,3129.098826772174
79,0.05713045200953139,0.9428695479904686,57189.683196758255,3267.272451312701
80,0.06291708658093695,0.937082913419063,53922.41074544555,3392.6409855240427
81,0.06928983833652651,0.9307101616634735,50529.76975992151,3501.199577846867
82,0.07630807396852105,0.923691926031479,47028.57018207464,3588.6596120875347
83,0.08403717330822078,0.9159628266917792,43439.91056998711,3650.567293063618
84,0.09254913838539924,0.9074508616146008,39789.343276923486,3682.469437200147
85,0.1019232641781621,0.8980767358218379,36106.87383972334,3680.130441013692
86,0.11224687730178058,0.8877531226982194,32426.74339870965,3639.8006875712854
87,0.12361614951790863,0.8763838504820913,28786.942711138363,3558.53101434355
88,0.13613699364259765,0.8638630063574023,25228.411696794814,3434.520122779392
89,0.1499260501991263,0.8500739498008737,21793.891574015423,3267.4720821601522
90,0.1651117740070144,0.8348882259929856,18526.41949185527,3058.929988298354
