t,age_start_year,R_t_minus_1,premium_received,p_x,expected_claim,R_t,R_t_raw
1,40,0.0,1542.3272205409237,0.9982511020570388,0.0,1583.655052117455,
2,41,1583.655052117455,1542.3272205409237,0.998081354022695,0.0,3210.2912418519945,
3,42,3210.2912418519945,1542.3272205409237,0.9978951302441378,0.0,4881.709286186146,
4,43,4881.709286186146,1542.3272205409237,0.9976908315856338,0.0,6599.877648399613,
5,44,6599.877648399613,1542.3272205409237,0.9974667036993354,0.0,8366.955969268822,
6,45,8366.955969268822,1542.3272205409237,0.997220821960393,0.0,10185.322093042296,
7,46,10185.322093042296,1542.3272205409237,0.9969510749398687,0.0,12057.603275213718,
8,47,12057.603275213718,1542.3272205409237,0.9966551462735324,0.0,13986.712264788413,
9,48,13986.712264788413,1542.3272205409237,0.9963304947708413,0.0,15975.889080985704,
10,49,15975.889080985704,1542.3272205409237,0.9959743325932993,0.0,18028.749458142007,
11,50,18028.749458142007,1542.3272205409237,0.9955836013148048,0.0,20149.341119276723,
12,51,20149.341119276723,1542.3272205409237,0.9951549456584198,0.0,22342.209266319358,
13,52,22342.209266319358,1542.3272205409237,0.994684684684026,0.0,24612.47295348544,
14,53,24612.47295348544,1542.3272205409237,0.9941687801794575,0.0,26965.914352629123,
15,54,26965.914352629123,1542.3272205409237,0.9936028019836757,0.0,29409.083342117403,
16,55,29409.083342117403,1542.3272205409237,0.9929818899442113,0.0,31949.420375136146,
17,56,31949.420375136146,1542.3272205409237,0.9923007121821964,0.0,34595.40123686401,
18,57,34595.40123686401,1542.3272205409237,0.9915534193066005,0.0,37356.70811840191,
19,58,37356.70811840191,1542.3272205409237,0.990733594184499,0.0,40244.43246545584,
20,59,40244.43246545584,1542.3272205409237,0.9898341968360466,0.0,43271.316362937454,
21,60,43271.316362937454,1542.3272205409237,0.9888475039809532,0.0,46452.04087398909,
22,61,46452.04087398909,1542.3272205409237,0.9877650427173446,0.0,49803.57187126181,
23,62,49803.57187126181,1542.3272205409237,0.98657751776349,0.0,53345.57662372614,
24,63,53345.57662372614,1542.3272205409237,0.9852747316376144,0.0,57100.92792785261,
25,64,57100.92792785261,1542.3272205409237,0.9838454970903612,0.0,61096.3171604399,
26,65,61096.3171604399,0.0,0.9822775410379516,4911.387705189758,58753.5955706345,
27,66,58753.5955706345,0.0,0.9805573991710953,4902.786995855477,56416.53258729046,
28,67,56416.53258729046,0.0,0.9786703003346418,4893.351501673209,54087.259399002556,
29,68,54087.259399002556,0.0,0.9766000396851221,4883.0001984256105,51767.80527456516,
30,69,51767.80527456516,0.0,0.97432883953696,4871.6441976848,49460.05317018684,
31,70,49460.05317018684,0.0,0.9718371967024174,4859.185983512087,47165.686466274565,
32,71,47165.686466274565,0.0,0.969103715014354,4845.51857507177,44886.12454882124,
33,72,44886.12454882124,0.0,0.9661049215936472,4830.5246079682365,42622.444140589185,
34,73,42622.444140589185,0.0,0.9628150652835267,4814.075326417634,40375.282148538885,
35,74,40375.282148538885,0.0,0.9592058955199457,4796.029477599729,38144.71418028497,
36,75,38144.71418028497,0.0,0.9552464197391117,4776.232098695558,35930.10057600664,
37,76,35930.10057600664,0.0,0.9509026372389898,4754.513186194949,33729.88847453449,
38,77,33729.88847453449,0.0,0.9461372472094062,4730.68623604703,31541.35358096294,
39,78,31541.35358096294,0.0,0.9409093284235512,4704.546642117756,29360.25815011761,
40,79,29360.25815011761,0.0,0.9351739878403411,4675.869939201705,27180.391023673805,
41,80,27180.391023673805,0.0,0.9288819751001246,4644.4098755006235,24992.939411126605,
42,81,24992.939411126605,0.0,0.9219792596033427,4609.896298016713,22785.617333112394,
43,82,22785.617333112394,0.0,0.9144065665404432,4572.032832702216,20541.437059887106,
44,83,20541.437059887106,0.0,0.9060988678888585,4530.494339444293,18236.948784011583,
45,84,18236.948784011583,0.0,0.8969848240061512,4484.924120030756,15839.675324856647,
46,85,15839.675324856647,0.0,0.8869861710241882,4434.930855120941,13304.307032465915,
47,86,13304.307032465915,0.0,0.8760170487837959,4380.085243918979,10566.95126791214,
48,87,10566.95126791214,0.0,0.8639832635387512,4319.916317693756,7536.267201805751,
49,88,7536.267201805751,0.0,0.8507814790978223,4253.907395489112,4079.5040461414596,
50,89,4079.5040461414596,0.0,0.836298329459057,4181.4916472952855,-3.469202312687007e-10,-3.469202312687007e-10
